municipal_norm,units_total,affordable_units,projects,transit_project_share,municipality,single_family_share,is_mbta,pop,hh,compliance_pct,nhwhi_p,nhaa_p,nhas_p,lat_p,affordable_share,units_per_1k_residents,zoning_bin
tyngsborough,758,30.0,6,1.0,Tyngsborough,,,,,,,,,,0.0395778364116095,,Most flexible zoning
upton,137,0.0,3,1.0,Upton,,,,,,,,,,0.0,,Most flexible zoning
uxbridge,57,0.0,2,1.0,Uxbridge,,,,,,,,,,0.0,,Most flexible zoning
wakefield,302,4.0,8,1.0,Wakefield,1.35775662730308,1.0,1018.0,1106.0,98.008,85.7,1.5,4.2,4.2,0.013245033112582781,296.6601178781925,Most flexible zoning
walpole,1666,272.0,14,1.0,Walpole,90.5154437846051,1.0,968.0,1760.0,83.266,82.9,3.1,5.3,4.2,0.16326530612244897,1721.0743801652893,Moderately flexible
waltham,1255,49.0,9,1.0,Waltham,76.0792793846205,1.0,1011.0,1753.0,92.308,60.4,6.8,12.2,16.4,0.03904382470119522,1241.345202769535,Moderately flexible
ware,100,0.0,1,1.0,Ware,,,,,,,,,,0.0,,Most flexible zoning
wareham,32,0.0,1,1.0,Wareham,,,,,,,,,,0.0,,Most flexible zoning
watertown,2196,243.0,23,1.0,Watertown,25.2830482844381,1.0,1008.0,1163.0,89.078,73.1,3.4,9.5,7.7,0.11065573770491803,2178.5714285714284,Moderately flexible
wayland,488,56.0,14,1.0,Wayland,0.0,1.0,288.0,915.0,99.142,76.8,0.9,13.5,3.9,0.11475409836065574,1694.4444444444443,Most flexible zoning
webster,88,0.0,1,1.0,Webster,,,,,,,,,,0.0,,Most flexible zoning
wellesley,1344,140.0,5,1.0,Wellesley,84.0042266891497,1.0,1077.0,614.0,98.581,73.3,2.0,14.8,5.2,0.10416666666666667,1247.9108635097493,Moderately flexible
wellfleet,46,46.0,1,1.0,Wellfleet,,,,,,,,,,1.0,,Most flexible zoning
wenham,152,62.0,12,1.0,Wenham,100.0,1.0,170.0,711.0,97.671,87.4,1.7,4.0,4.6,0.40789473684210525,894.1176470588235,Moderately flexible
west boylston,8,0.0,1,1.0,West Boylston,,,,,,,,,,0.0,,Most flexible zoning
west bridgewater,277,78.0,8,1.0,West Bridgewater,,,,,,,,,,0.2815884476534296,,Most flexible zoning
west newbury,40,0.0,2,1.0,West Newbury,,,,,,,,,,0.0,,Most flexible zoning
west springfield,36,36.0,1,1.0,West Springfield,,,,,,,,,,1.0,,Most flexible zoning
west tisbury,37,37.0,4,1.0,West Tisbury,,,,,,,,,,1.0,,Most flexible zoning
westborough,980,70.0,5,1.0,Westborough,,,,,,,,,,0.07142857142857142,,Most flexible zoning
westfield,59,0.0,1,1.0,Westfield,,,,,,,,,,0.0,,Most flexible zoning
westford,1031,123.0,17,1.0,Westford,,,,,,,,,,0.11930164888457807,,Most flexible zoning
westminster,249,0.0,5,1.0,Westminster,,,,,,,,,,0.0,,Most flexible zoning
weston,252,52.0,5,1.0,Weston,99.2056108049385,1.0,261.0,1006.0,99.333,74.0,2.0,16.0,4.1,0.20634920634920634,965.5172413793103,Moderately flexible
westwood,638,78.0,6,1.0,Westwood,0.0,1.0,323.0,778.0,99.65,82.8,1.6,9.1,2.9,0.12225705329153605,1975.2321981424147,Most flexible zoning
weymouth,4577,34.0,29,1.0,Weymouth,80.6151538801345,1.0,953.0,796.0,97.072,77.4,4.6,6.9,4.5,0.007428446580729736,4802.728226652675,Moderately flexible
weymouth town,50,0.0,1,1.0,Weymouth Town,,,,,,,,,,0.0,,Most flexible zoning
whitman,477,75.0,11,1.0,Whitman,,,,,,,,,,0.15723270440251572,,Most flexible zoning
wilbraham,5,0.0,1,1.0,Wilbraham,,,,,,,,,,0.0,,Most flexible zoning
wilmington,232,4.0,12,1.0,Wilmington,0.0,1.0,316.0,755.0,96.999,86.2,1.3,5.4,3.0,0.017241379310344827,734.1772151898734,Most flexible zoning
winchester,493,448.0,3,1.0,Winchester,79.8977493230552,1.0,310.0,1600.0,96.265,74.6,0.9,16.0,3.4,0.9087221095334685,1590.3225806451612,Moderately flexible
winthrop,418,27.0,15,1.0,Winthrop,0.0,1.0,87.0,1107.0,98.059,78.9,2.1,1.5,12.5,0.0645933014354067,4804.597701149425,Most flexible zoning
woburn,4044,727.0,39,1.0,Woburn,62.5805030292824,1.0,916.0,1372.0,97.38,72.8,5.3,8.5,6.4,0.17977250247279922,4414.847161572053,Moderately flexible
worcester,6409,456.0,61,1.0,Worcester,,,,,,,,,,0.0711499453892963,,Most flexible zoning
wrentham,1239,119.0,18,1.0,Wrentham,0.0,1.0,123.0,972.0,97.647,89.6,1.3,2.7,2.5,0.096045197740113,10073.170731707316,Most flexible zoning
yarmouth,451,257.0,6,1.0,Yarmouth,,,,,,,,,,0.5698447893569845,,Most flexible zoning
