municipal_norm,municipality,population,pct_inc_low,pct_inc_mid,pct_inc_high,units_per_1k_residents
hamilton,Hamilton,253.0,27.256317689530686,16.60649819494585,56.13718411552347,86.95652173913044
hanover,Hanover,678.0,7.436570428696413,37.970253718285214,54.59317585301837,992.6253687315634
hingham,Hingham,340.0,23.670668953687823,36.57804459691252,39.75128644939966,4682.352941176471
holbrook,Holbrook,835.0,11.11111111111111,58.21256038647343,30.67632850241546,86.22754491017965
holliston,Holliston,99.0,8.409986859395532,37.844940867279895,53.745072273324574,7898.989898989898
hopkinton,Hopkinton,495.0,5.390334572490707,28.62453531598513,65.98513011152416,4517.171717171717
hudson,Hudson,108.0,4.9504950495049505,51.881188118811885,43.16831683168317,10611.111111111111
hull,Hull,434.0,24.384027187765504,49.02293967714528,26.59303313508921,700.4608294930875
ipswich,Ipswich,427.0,32.625,42.625,24.75,702.576112412178
lexington,Lexington,564.0,8.59375,34.53125,56.875,195.03546099290784
lincoln,Lincoln,482.0,18.25136612021858,34.09836065573771,47.650273224043715,614.1078838174275
littleton,Littleton,189.0,13.39563862928349,32.71028037383178,53.89408099688473,9740.74074074074
lynn,Lynn,271.0,11.064425770308123,49.719887955182074,39.21568627450981,30767.527675276753
lynnfield,Lynnfield,550.0,21.19289340101523,34.51776649746193,44.28934010152284,916.3636363636364
malden,Malden,1233.0,6.9727891156462585,52.2108843537415,40.816326530612244,2256.2854825628547
manchester,Manchester,780.0,13.268156424581006,37.29050279329609,49.44134078212291,60.256410256410255
marblehead,Marblehead,615.0,18.67798665858096,38.993329290479075,42.32868405093996,154.47154471544715
marlborough,Marlborough,886.0,13.365155131264917,54.05727923627685,32.57756563245823,1214.4469525959366
marshfield,Marshfield,185.0,0.0,59.190031152647975,40.809968847352025,7275.675675675676
maynard,Maynard,547.0,15.401459854014599,49.63503649635037,34.96350364963504,784.2778793418647
medfield,Medfield,706.0,5.223880597014926,22.388059701492537,72.38805970149254,926.3456090651558
medford,Medford,438.0,5.670816044260028,47.85615491009682,46.47302904564315,8965.753424657534
medway,Medway,1036.0,8.161157024793388,28.40909090909091,63.429752066115704,886.1003861003861
melrose,Melrose,328.0,20.64873417721519,43.67088607594937,35.68037974683544,7045.731707317073
middleton,Middleton,806.0,9.384384384384385,47.82282282282282,42.792792792792795,323.8213399503722
milford,Milford,951.0,16.480630334865396,49.770190413657254,33.74917925147735,1096.740273396425
millis,Millis,448.0,10.330992978936811,43.229689067201605,46.43931795386158,1209.821428571429
milton,Milton,828.0,16.387959866220736,39.46488294314381,44.147157190635454,555.5555555555555
nahant,Nahant,83.0,33.771929824561404,27.19298245614035,39.03508771929825,337.34939759036143
natick,Natick,807.0,12.834224598930481,52.74064171122995,34.42513368983957,1831.4745972738535
needham,Needham,653.0,4.111986001749782,22.57217847769029,73.31583552055993,1977.0290964777948
newton,Newton,900.0,15.942968243681142,33.506156837329875,50.55087491898898,4356.666666666666
norfolk,Norfolk,311.0,12.679425837320574,33.49282296650718,53.82775119617225,324.75884244372986
norwell,Norwell,451.0,7.158836689038031,32.774049217002236,60.06711409395973,2594.2350332594233
norwood,Norwood,699.0,22.545031958163857,57.17606042998257,20.278907611853572,1074.3919885550788
peabody,Peabody,886.0,15.829257447754557,49.399733214762115,34.77100933748333,3431.151241534989
pembroke,Pembroke,948.0,11.31578947368421,41.578947368421055,47.10526315789474,150.8438818565401
quincy,Quincy,664.0,14.888211382113822,53.55691056910569,31.554878048780488,10548.192771084336
randolph,Randolph,953.0,10.696517412935323,65.5223880597015,23.781094527363184,304.30220356768103
reading,Reading,258.0,17.211597779148672,35.163479333744604,47.62492288710673,3007.751937984496
revere,Revere,195.0,21.25984251968504,44.68503937007874,34.05511811023622,26656.410256410258
rockland,Rockland,1107.0,12.749287749287749,53.56125356125356,33.68945868945869,74.97741644083108
rockport,Rockport,684.0,14.155712841253791,64.20626895854399,21.638018200202225,33.62573099415204
salem,Salem,1780.0,17.914625612316303,60.74177746675997,21.343596920923723,1002.808988764045
saugus,Saugus,580.0,15.151515151515152,57.82828282828283,27.02020202020202,2022.4137931034488
scituate,Scituate,238.0,3.7549407114624507,47.82608695652174,48.41897233201581,4605.042016806722
sharon,Sharon,308.0,3.3374536464771323,27.441285537700864,69.221260815822,3009.7402597402597
sherborn,Sherborn,408.0,12.0617110799439,21.458625525946704,66.4796633941094,553.921568627451
southborough,Southborough,314.0,1.791044776119403,37.3134328358209,60.8955223880597,1175.15923566879
stoneham,Stoneham,962.0,10.44973544973545,49.86772486772487,39.682539682539684,1117.4636174636175
stoughton,Stoughton,1154.0,13.147792706333973,61.61228406909789,25.239923224568138,861.3518197573657
stow,Stow,537.0,7.436918990703851,41.56706507304117,50.99601593625498,1005.586592178771
sudbury,Sudbury,515.0,17.940199335548172,8.970099667774086,73.08970099667773,1669.902912621359
swampscott,Swampscott,966.0,23.55491329479769,48.12138728323699,28.32369942196532,484.472049689441
topsfield,Topsfield,212.0,12.677304964539006,31.117021276595743,56.205673758865245,471.6981132075472
wakefield,Wakefield,1018.0,22.151898734177216,38.78842676311031,39.059674502712475,296.6601178781925
walpole,Walpole,968.0,13.75,35.625,50.625,1721.0743801652893
waltham,Waltham,1011.0,20.0,55.3968253968254,24.603174603174605,1241.345202769535
watertown,Watertown,1008.0,4.213241616509029,45.82975064488392,49.957007738607054,2178.5714285714284
wayland,Wayland,288.0,3.7158469945355193,17.049180327868854,79.23497267759562,1694.4444444444443
wellesley,Wellesley,1077.0,3.257328990228013,33.22475570032573,63.51791530944625,1247.910863509749
wenham,Wenham,170.0,8.579465541490858,41.77215189873418,49.648382559774966,894.1176470588235
weston,Weston,261.0,6.560636182902584,29.62226640159046,63.81709741550696,965.5172413793103
westwood,Westwood,323.0,5.784061696658098,41.0025706940874,53.2133676092545,1975.2321981424147
weymouth,Weymouth,953.0,7.914572864321608,37.06030150753769,55.02512562814071,4802.728226652675
wilmington,Wilmington,316.0,9.271523178807946,41.98675496688742,48.741721854304636,734.1772151898734
winchester,Winchester,310.0,9.75,35.4375,54.8125,1590.3225806451612
winthrop,Winthrop,87.0,46.25112917795845,42.27642276422764,11.472448057813912,4804.597701149425
woburn,Woburn,916.0,9.256559766763848,47.08454810495627,43.65889212827988,4414.847161572053
wrentham,Wrentham,123.0,11.008230452674898,28.60082304526749,60.390946502057616,10073.170731707316
