id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
3724,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Forest Ridge,planning,Project eligibility 40B application submitted  12 unit multi­family townhouse development,,149 Hayden Rowe St,MA,01748,,,2021,,0,0,12,12,0,,0,,,,0,0,0,0,0,0,0,,42.21099353,-71.51185346,FALSE,2014-08-28 16:21:19 UTC,2020-02-28 00:22:56 UTC,Hopkinton,,FALSE,,,,,,,,,FALSE,,,,,,F_652955_2901912,2017,Metropolitan Area Planning Council,Middlesex,,[],,,,
3734,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Black Horse Place PRD, 140 Commerford Rd",completed, 16 single-family homes and three duplexes,,140 Commerford Rd,MA,01742,,,2018,,16,6,0,22,0,,0,0,,,0,0,0,0,0,0,0,0,42.47651681,-71.40104655,FALSE,2014-11-21 18:54:20 UTC,2020-03-05 14:38:38 UTC,Concord,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,,F_682894_2998345,2017,Metropolitan Area Planning Council,Middlesex,,[],,,,
3730,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Village at Auburnville,completed, Construction of the site spanned from 2006-2013. The development is age restricted to 55+.,http://auburnvillevillage.com/,877 Auburnville Way,MA,02382,,,2013,,0,92,0,92,0,,0,,,,0,0,0,0,0,0,0,,42.07373925,-70.96316323,FALSE,2014-11-07 20:23:30 UTC,2018-04-24 22:33:48 UTC,Whitman,,FALSE,,,,,,,,,FALSE,,,,,,F_801828_2851506,2012,Old Colony Planning Council,Plymouth,,[],,,,
3729,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Pine View Village,completed,,http://pondviewvillage.net/,4 Onset Ln,MA,02072,,,2014,,79,0,0,79,0,,0,,,,0,0,0,0,0,0,0,,42.12168594,-71.07032128,FALSE,2014-11-07 18:32:52 UTC,2018-04-24 22:33:43 UTC,Stoughton,,FALSE,,,,,,,,,FALSE,,,,,,F_772734_2869661,2018,Old Colony Planning Council,Norfolk,,[],,,,
3731,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Great Cedar Condominiums,completed, Recently completed Phase 3.  Unknown how many more phases to come.,,1486 Main St,MA,02341,,,2016,,0,24,0,24,0,,0,,,,0,0,0,0,0,0,0,,42.04327117,-70.89228998,FALSE,2014-11-10 18:27:22 UTC,2018-04-24 22:33:53 UTC,Hanson,,FALSE,,,,,,,,,FALSE,,,,,,M_250283_866036,2013,Old Colony Planning Council,Plymouth,,[],,,,
3716,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Littleton Ridge,completed," over55: 5, 10% 40B, formerly Charles Ridge",,Hannah Dodge Rd,MA,01460,,,2007,,,43,,43,,,,,,,0,0,0,0,0,0,0,,42.56522917,-71.48335456,FALSE,2011-03-19 07:00:00 UTC,2018-04-24 22:32:50 UTC,Littleton,,FALSE,,,,,,,,,FALSE,,,,,,M_201367_923852,2013,Metropolitan Area Planning Council,Middlesex,,[],,,,
4652,483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,361 W Fourth St,completed,6 residential units,,361 West Fourth Street,MA,02127,,,2012,,0,0,6,6,0,,0,0,,,0,0,0,0,0,0,0,0,42.33691319,-71.05012437,FALSE,2019-04-08 18:18:48 UTC,2019-04-08 18:18:48 UTC,Boston,,FALSE,,,,0,0,0,0,0,FALSE,,0,,,0,M_237075_898586,,Metropolitan Area Planning Council,Suffolk,South Boston,[],,,,
5079,566,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85 - 105 Myrtle Street,planning,"85-105 Myrtle Street LLC, managed by Charles McCarthy, is proposing a five-story, 43-unit condominium building with structured parking for 90 vehicles at 85-105 Myrtle St. and 90 Walnut St.",,85 Myrtle Street,MA,02171,,,2023,,0,0,43,43,,,0,0,90,,0,0,0,0,0,0,0,0,42.27891261,-71.03703427,FALSE,2020-02-07 16:09:11 UTC,2022-12-14 18:03:27 UTC,Quincy,85-105 Myrtle Street LLC,TRUE,,,,3,,,,,FALSE,garage,0,,3,0,F_781444_2927026,,Metropolitan Area Planning Council,Norfolk,North Quincy,"[""Rapid Transit: North Quincy""]",,,FALSE,FALSE
6130,823,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,The Finn 1431-1439 Winter St,completed,A newly renovated building with 22 units of affordable housing located in the heart of Quincy Center,,Hancock Street,MA,02169,,,2022,,0,0,22,22,0,,0,0,,,0,0,0,0,0,0,0,0,42.24899003,-71.00252846,FALSE,2022-12-14 16:52:10 UTC,2022-12-14 16:52:10 UTC,Quincy,,FALSE,,,,22,0,0,0,0,FALSE,,0,,22,0,F_790839_2916164,,Metropolitan Area Planning Council,Norfolk,Quincy Center,"[""Rapid Transit: Quincy Center""]",,,FALSE,FALSE
3725,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hopkinton Village Center,in_construction,"Total 42000 sq. ft. of floor area 1 Building. Mixed use retail, office and residential development at 25 and 35 Main Street.****From multiple reports online there does not appear to much progress since the project was initially proposed https://www.metrowestdailynews.com/news/20190107/hopkinton-developer-proposes-12-condos-public-parking-lot",,35 Main St,MA,01748,,,2023,42000,0,9,0,9,0,,0,0,152,,0,0,0,0,0,0,0,0,42.22789815,-71.52082545,TRUE,2014-08-28 14:26:07 UTC,2023-02-13 19:08:05 UTC,Hopkinton,,FALSE,,,,0,0,0,0,0,FALSE,,0,,0,,F_650526_2908073,2017,Metropolitan Area Planning Council,Middlesex,,"[""RTA: MWRTA""]",,,FALSE,FALSE
